owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
google,mediapipe,23007,4714,497,False,False,"[{'name': 'C++', 'size': 12476210}, {'name': 'Python', 'size': 1837626}, {'name': 'Java', 'size': 1646275}, {'name': 'Starlark', 'size': 1564480}, {'name': 'Objective-C', 'size': 751724}, {'name': 'TypeScript', 'size': 640444}, {'name': 'Objective-C++', 'size': 434280}, {'name': 'C', 'size': 104862}, {'name': 'Shell', 'size': 27442}, {'name': 'Swift', 'size': 12046}]",15,"[{'name': 'mediapipe', 'stars': 21}, {'name': 'c-plus-plus', 'stars': 425}, {'name': 'computer-vision', 'stars': 1900}, {'name': 'deep-learning', 'stars': 70567}, {'name': 'android', 'stars': 139799}, {'name': 'video-processing', 'stars': 84}, {'name': 'audio-processing', 'stars': 102}, {'name': 'mobile-development', 'stars': 78}, {'name': 'machine-learning', 'stars': 72587}, {'name': 'inference', 'stars': 36}]",17,592398,355,4347,"Cross-platform, customizable ML solutions for live and streaming media.",C++,2019-06-13T19:16:41Z,2023-08-17T21:21:03Z,2427.0,Apache License 2.0,16,Other,True,google/mediapipe,,60
rwaldron,idiomatic.js,22976,3273,925,False,False,[],0,[],0,1237,176,82,"Principles of Writing Consistent, Idiomatic JavaScript",,2011-05-25T17:48:59Z,2023-05-21T08:27:29Z,504.0,Other,3,,True,rwaldron/idiomatic.js,,87
android,architecture-components-samples,22963,8344,890,False,False,"[{'name': 'Kotlin', 'size': 521057}, {'name': 'Java', 'size': 240432}, {'name': 'Shell', 'size': 4141}, {'name': 'RenderScript', 'size': 2642}]",4,[],0,21555,372,687,Samples for Android Architecture Components. ,Kotlin,2017-05-09T21:09:14Z,2023-07-01T13:12:51Z,637.0,Apache License 2.0,28,,True,android/architecture-components-samples,,61
CodeHubApp,CodeHub,22962,652,6655,False,True,"[{'name': 'C#', 'size': 1074233}, {'name': 'CSS', 'size': 85875}, {'name': 'HTML', 'size': 23498}]",3,"[{'name': 'codehub', 'stars': 7}, {'name': 'c-sharp', 'stars': 350}, {'name': 'github', 'stars': 1311}, {'name': 'reactiveui', 'stars': 6269}]",4,75636,24,640,CodeHub is an iOS application written using Xamarin,C#,2013-07-23T22:19:57Z,2022-06-22T16:14:05Z,593.0,,1,,True,CodeHubApp/CodeHub,,7
reduxjs,react-redux,22939,3367,413,False,False,"[{'name': 'TypeScript', 'size': 323169}, {'name': 'JavaScript', 'size': 22226}, {'name': 'CSS', 'size': 7900}]",3,"[{'name': 'react', 'stars': 95607}, {'name': 'redux', 'stars': 16219}]",2,9135,764,1235,Official React bindings for Redux,TypeScript,2015-07-11T17:32:01Z,2023-07-29T16:14:43Z,1203.0,MIT License,10,Contributor Covenant,True,reduxjs/react-redux,,273
viatsko,awesome-vscode,22937,1194,485,False,False,"[{'name': 'JavaScript', 'size': 250}]",1,"[{'name': 'visual-studio', 'stars': 245}, {'name': 'vscode', 'stars': 259}, {'name': 'vscode-theme', 'stars': 61}, {'name': 'vscode-extension', 'stars': 189}, {'name': 'awesome', 'stars': 68077}, {'name': 'awesome-list', 'stars': 1706}, {'name': 'list', 'stars': 119}, {'name': 'visualstudio', 'stars': 22}, {'name': 'visual-studio-code', 'stars': 5329}, {'name': 'visual-studio-code-extension', 'stars': 12}]",11,10521,329,46,🎨 A curated list of delightful VS Code packages and resources.,JavaScript,2016-02-07T23:02:45Z,2023-08-03T07:42:23Z,703.0,Creative Commons Zero v1.0 Universal,4,Contributor Covenant,True,viatsko/awesome-vscode,,174
backstage,backstage,22918,4389,220,False,False,"[{'name': 'TypeScript', 'size': 18764546}, {'name': 'JavaScript', 'size': 416203}, {'name': 'MDX', 'size': 283811}, {'name': 'Handlebars', 'size': 37683}, {'name': 'CSS', 'size': 28432}, {'name': 'SCSS', 'size': 10731}, {'name': 'Smarty', 'size': 10552}, {'name': 'HTML', 'size': 7597}, {'name': 'Dockerfile', 'size': 7332}, {'name': 'Mustache', 'size': 5706}]",14,"[{'name': 'infrastructure', 'stars': 110}, {'name': 'dx', 'stars': 7}, {'name': 'developer-experience', 'stars': 33}, {'name': 'developer-portal', 'stars': 12}, {'name': 'service-catalog', 'stars': 6}, {'name': 'microservices', 'stars': 378}, {'name': 'cncf', 'stars': 200}, {'name': 'backstage', 'stars': 6}, {'name': 'hacktoberfest', 'stars': 26059}]",9,3865680,13883,4491,Backstage is an open platform for building developer portals,TypeScript,2020-01-24T22:39:49Z,2023-08-18T09:01:11Z,43011.0,Apache License 2.0,56,Other,True,backstage/backstage,,370
doocs,leetcode,22899,4139,275,False,False,"[{'name': 'Java', 'size': 2002800}, {'name': 'C++', 'size': 1736626}, {'name': 'Python', 'size': 1561076}, {'name': 'Go', 'size': 1210271}, {'name': 'TypeScript', 'size': 935328}, {'name': 'Rust', 'size': 475235}, {'name': 'JavaScript', 'size': 257415}, {'name': 'C#', 'size': 222882}, {'name': 'C', 'size': 65324}, {'name': 'PHP', 'size': 35451}]",18,"[{'name': 'algorithms', 'stars': 397}, {'name': 'cpp', 'stars': 117990}, {'name': 'javascript', 'stars': 163762}, {'name': 'golang', 'stars': 1856}, {'name': 'csharp', 'stars': 64451}, {'name': 'python3', 'stars': 3647}, {'name': 'java', 'stars': 147835}, {'name': 'leetcode', 'stars': 191}]",8,473147,1405,32,😏 LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,Java,2018-09-16T14:03:03Z,2023-08-18T06:30:59Z,8193.0,Creative Commons Attribution Share Alike 4.0 International,398,Contributor Covenant,True,doocs/leetcode,,145
keon,algorithms,22859,4516,640,False,False,"[{'name': 'Python', 'size': 701470}]",1,"[{'name': 'algorithm', 'stars': 100617}, {'name': 'python', 'stars': 277238}, {'name': 'competitive-programming', 'stars': 176}, {'name': 'data-structure', 'stars': 63}, {'name': 'algorithms', 'stars': 397}, {'name': 'sort', 'stars': 15}, {'name': 'search', 'stars': 89}, {'name': 'tree', 'stars': 22}, {'name': 'graph', 'stars': 147}]",9,1452,745,156,Minimal examples of data structures and algorithms in Python,Python,2016-11-17T22:32:08Z,2023-05-06T08:45:48Z,954.0,MIT License,9,Contributor Covenant,True,keon/algorithms,,183
Igglybuff,awesome-piracy,22849,2040,673,False,True,"[{'name': 'HTML', 'size': 81684}, {'name': 'Shell', 'size': 1344}]",2,"[{'name': 'awesome-list', 'stars': 1706}, {'name': 'piracy', 'stars': 76}, {'name': 'warez', 'stars': 14}, {'name': 'tv', 'stars': 44}, {'name': 'movies', 'stars': 91}, {'name': 'audiobooks', 'stars': 11}, {'name': 'music', 'stars': 803}, {'name': 'ebooks', 'stars': 28}, {'name': 'comics', 'stars': 19}]",9,2154,399,311,A curated list of awesome warez and piracy links,HTML,2018-10-09T22:09:56Z,2023-06-18T22:05:28Z,586.0,Creative Commons Zero v1.0 Universal,1,,True,Igglybuff/awesome-piracy,,107
novuhq,novu,22849,1577,141,False,False,"[{'name': 'TypeScript', 'size': 5108737}, {'name': 'Python', 'size': 216392}, {'name': 'JavaScript', 'size': 88191}, {'name': 'HTML', 'size': 64815}, {'name': 'Handlebars', 'size': 18474}, {'name': 'Shell', 'size': 16647}, {'name': 'Dockerfile', 'size': 13676}, {'name': 'MDX', 'size': 11286}, {'name': 'Vue', 'size': 8994}, {'name': 'Smarty', 'size': 8490}]",11,"[{'name': 'notifications', 'stars': 50}, {'name': 'communication', 'stars': 90}, {'name': 'email', 'stars': 99}, {'name': 'sms', 'stars': 54}, {'name': 'push-notifications', 'stars': 28}, {'name': 'transactional', 'stars': 3}, {'name': 'javascript', 'stars': 163762}, {'name': 'typescript', 'stars': 39384}, {'name': 'nodejs', 'stars': 74528}, {'name': 'notification-center', 'stars': 5}]",15,116849,2771,1053,The open-source notification infrastructure with fully functional embedded notification center,TypeScript,2021-08-26T15:22:44Z,2023-08-17T21:31:07Z,13141.0,MIT License,16,Contributor Covenant,True,novuhq/novu,,360
NativeScript,NativeScript,22840,1656,665,False,False,"[{'name': 'TypeScript', 'size': 4161320}, {'name': 'Java', 'size': 518898}, {'name': 'JavaScript', 'size': 70547}, {'name': 'Objective-C', 'size': 54421}, {'name': 'CSS', 'size': 34837}, {'name': 'Shell', 'size': 14663}, {'name': 'HTML', 'size': 1307}, {'name': 'Ruby', 'size': 293}, {'name': 'SCSS', 'size': 65}]",9,"[{'name': 'nativescript', 'stars': 7289}, {'name': 'android', 'stars': 139799}, {'name': 'ios', 'stars': 40513}, {'name': 'angular', 'stars': 62167}, {'name': 'vue', 'stars': 57868}, {'name': 'typescript', 'stars': 39384}, {'name': 'javascript', 'stars': 163762}, {'name': 'cross-platform', 'stars': 156}, {'name': 'react', 'stars': 95607}, {'name': 'svelte', 'stars': 605}]",20,124211,3534,6589,"⚡ Empowering JavaScript with native platform APIs. ✨ Best of all worlds (TypeScript, Swift, Objective C, Kotlin, Java). Use what you love ❤️ Angular, Capacitor, Ionic, React, Solid, Svelte, Vue with: SwiftUI, Jetpack Compose, Flutter and you name it compatible.",TypeScript,2015-03-01T09:47:08Z,2023-08-11T14:10:09Z,7287.0,MIT License,17,Contributor Covenant,True,NativeScript/NativeScript,,228
mozilla,DeepSpeech,22839,3821,670,False,False,"[{'name': 'C++', 'size': 1052035}, {'name': 'Python', 'size': 479417}, {'name': 'C', 'size': 251606}, {'name': 'Shell', 'size': 241110}, {'name': 'C#', 'size': 62013}, {'name': 'Swift', 'size': 39402}, {'name': 'Java', 'size': 29528}, {'name': 'Makefile', 'size': 20327}, {'name': 'CMake', 'size': 20205}, {'name': 'TypeScript', 'size': 12607}]",16,"[{'name': 'deep-learning', 'stars': 70567}, {'name': 'machine-learning', 'stars': 72587}, {'name': 'neural-networks', 'stars': 224}, {'name': 'tensorflow', 'stars': 35637}, {'name': 'speech-recognition', 'stars': 170}, {'name': 'speech-to-text', 'stars': 170}, {'name': 'deepspeech', 'stars': 11}, {'name': 'embedded', 'stars': 455}, {'name': 'on-device', 'stars': 3}, {'name': 'offline', 'stars': 26}]",10,50568,1667,2092,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.",C++,2016-06-02T15:04:53Z,2023-07-20T13:12:55Z,3466.0,Mozilla Public License 2.0,12,Other,True,mozilla/DeepSpeech,,132
nothings,stb,22838,7723,618,False,False,"[{'name': 'C', 'size': 3447137}, {'name': 'C++', 'size': 132522}, {'name': 'Shell', 'size': 1125}, {'name': 'Makefile', 'size': 697}, {'name': 'Batchfile', 'size': 18}]",5,[],0,5484,660,747,stb single-file public domain libraries for C/C++,C,2014-05-25T16:51:23Z,2023-08-13T07:48:36Z,2149.0,Other,2,,True,nothings/stb,,183
expo,expo,22825,4226,279,False,False,"[{'name': 'TypeScript', 'size': 8431933}, {'name': 'Kotlin', 'size': 3450766}, {'name': 'Objective-C', 'size': 2658314}, {'name': 'Swift', 'size': 1801279}, {'name': 'Java', 'size': 1582668}, {'name': 'JavaScript', 'size': 852572}, {'name': 'C++', 'size': 310882}, {'name': 'C', 'size': 236338}, {'name': 'Objective-C++', 'size': 171409}, {'name': 'Ruby', 'size': 169029}]",15,"[{'name': 'mobile', 'stars': 20954}, {'name': 'expo', 'stars': 87}, {'name': 'native', 'stars': 20}, {'name': 'web', 'stars': 1630}, {'name': 'universal', 'stars': 22}, {'name': 'react', 'stars': 95607}, {'name': 'android', 'stars': 139799}, {'name': 'ios', 'stars': 40513}, {'name': 'app-framework', 'stars': 33}, {'name': 'web-framework', 'stars': 113}]",16,2758504,11682,11792,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",TypeScript,2016-08-15T17:14:25Z,2023-08-18T08:16:03Z,18997.0,MIT License,33,,True,expo/expo,,411
directus,directus,22815,3024,303,False,False,"[{'name': 'TypeScript', 'size': 4135027}, {'name': 'Vue', 'size': 1563636}, {'name': 'SCSS', 'size': 51977}, {'name': 'JavaScript', 'size': 30590}, {'name': 'CSS', 'size': 23770}, {'name': 'Liquid', 'size': 19689}, {'name': 'Dockerfile', 'size': 1282}, {'name': 'HTML', 'size': 1268}]",8,"[{'name': 'api', 'stars': 90666}, {'name': 'cms', 'stars': 370}, {'name': 'graphql', 'stars': 26650}, {'name': 'app', 'stars': 314}, {'name': 'database', 'stars': 82137}, {'name': 'dashboard', 'stars': 221}, {'name': 'vue', 'stars': 57868}, {'name': 'sqlite', 'stars': 494}, {'name': 'mysql', 'stars': 61815}, {'name': 'postgresql', 'stars': 30547}]",20,388428,6529,6729,The Modern Data Stack 🐰 — Directus is an instant REST+GraphQL API and intuitive no-code data collaboration app for any SQL database.,TypeScript,2012-12-12T01:35:36Z,2023-08-18T08:12:59Z,10627.0,Other,24,Other,True,directus/directus,,399
